name,x_dl,x_bc,mtf_ftm,mtf_ftm_law,surgery,Source
Alabama,No,No,"Yes, surgery required",Yes,Yes,
Alaska,No,No,"Yes, surgery not required",No,No,
"American Samoa",Unknown,Unknown,Unknown,Unknown,Unknown,
Arizona,No,No,"Yes, surgery required",Yes,Yes,
Arkansas,Yes,No,"Yes, surgery required",Yes,Yes,
California,Yes,Yes,"Yes, surgery not required",Yes,No,
Colorado,Yes,Yes,"Yes, surgery required",Yes,Yes,
Connecticut,Yes,No,"Yes, surgery not required",Yes,No,
Delaware,No,No,"Yes, surgery not required",Yes,No,
"District of Columbia",Yes,Unknown,"Yes, surgery required",No,Yes,
Florida,No,No,"Yes, surgery may be required",Yes,Unknown,
Georgia,No,No,"Yes, surgery required",Yes,Yes,
Guam,Unknown,Unknown,"Yes, surgery required",Yes,Yes,
Hawaii,Yes,No,"Yes, surgery not required",Yes,No,
Idaho,No,No,No,No,N/A,
Illinois,Yes,Yes,"Yes, surgery may be required",Yes,Unknown,
Indiana,Yes,Yes,"Yes, surgery may be required",No,Unknown,
Iowa,No,No,"Yes, surgery may be required",Yes,Unknown,
Kansas,No,No,"Yes, surgery may be required",Yes,Unknown,"Foster v. Andersen"
Kentucky,No,No,"Yes, surgery required",Yes,Yes,
Louisiana,No,No,"Yes, surgery required",Yes,Yes,
Maine,Yes,Yes,"Yes, surgery may be required",No,Unknown,
Maryland,Yes,No,"Yes, surgery required",Yes,Yes,
Massachusetts,Yes,No,"Yes, surgery required",Yes,Yes,
Michigan,No,No,"Yes, surgery required",Yes,Yes,
Minnesota,Yes,No,"Yes, surgery not required",Yes,No,
Mississippi,No,No,"Yes, surgery may be required",Yes,Unknown,
Missouri,No,No,"Yes, surgery may be required",Yes,Unknown,
Montana,No,No,"Yes, surgery required",Yes,Yes,
Nebraska,No,No,"Yes, surgery required",Yes,Yes,
Nevada,Yes,Yes,"Yes, surgery may be required",Yes,Unknown,
"New Hampshire",Yes,No,"Yes, surgery may be required",Yes,Unknown,
"New Jersey",No,Yes,"Yes, surgery required",Yes,Yes,
"New Mexico",No,Yes,"Yes, surgery required",Yes,Yes,
"New York",Yes,Yes,"Yes, surgery not required",Yes,No,
"North Carolina",No,No,"Yes, surgery required",Yes,Yes,
"North Dakota",No,No,"Yes, surgery may be required",Yes,Unknown,
"Northern Mariana Islands",Unknown,Unknown,Unknown,Unknown,Unknown,
Ohio,No,Yes,"Yes, surgery may be required",Yes,Unknown,
Oklahoma,No,No,"Yes, surgery may be required",No,Unknown,
Oregon,Yes,Yes,"Yes, surgery not required",Yes,No,
Pennsylvania,Yes,No,"Yes, surgery not required",Yes,No,
"Puerto Rico",No,No,Unknown,Unknown,Unknown,
"Rhode Island","In progress",Yes,"Yes, surgery required",Yes,Yes,
"South Carolina",No,No,"Yes, surgery may be required",No,Unknown,
"South Dakota",No,No,"Yes, surgery may be required",No,Unknown,
Tennessee,No,No,No,No,N/A,
Texas,No,No,"Yes, surgery may be required",No,N/A,
Utah,Complicated,Complicated,"Yes, surgery may be required",Yes,Unknown,
Vermont,Yes,No,"Yes, surgery required",Yes,Yes,
Virginia,No,No,"Yes, surgery may be required",Yes,Unknown,
"Virgin Islands",Unknown,Unknown,Unknown,Unknown,Unknown,
Washington,Yes,Yes,"Yes, surgery not required",Yes,No,
"West Virginia",No,No,"Yes, surgery required",No,Yes,
Wisconsin,No,No,"Yes, surgery not required",Yes,No,
Wyoming,No,No,"Yes, surgery may be required",Yes,Unclear,
